Modelo,Accuracy,Precision,Recall,F1,BalancedAccuracy,GMean,GMeanMicro,AUPRC,k
LightGBM,0.98 (0.98-0.98) ± 0.00,0.89 (0.84-0.93) ± 0.04,0.70 (0.67-0.72) ± 0.02,0.76 (0.74-0.78) ± 0.02,0.70 (0.67-0.72) ± 0.02,0.63 (0.59-0.67) ± 0.03,0.98 (0.98-0.98) ± 0.00,0.64 (0.60-0.66) ± 0.03,60000.0
NaiveBayes,0.96 (0.95-0.97) ± 0.01,0.68 (0.65-0.71) ± 0.02,0.90 (0.84-0.94) ± 0.04,0.75 (0.71-0.77) ± 0.02,0.90 (0.84-0.94) ± 0.04,0.89 (0.84-0.94) ± 0.04,0.96 (0.95-0.97) ± 0.01,0.73 (0.68-0.81) ± 0.05,70000.0
LogisticRegression,0.99 (0.98-0.99) ± 0.00,0.86 (0.83-0.87) ± 0.02,0.83 (0.80-0.86) ± 0.03,0.84 (0.82-0.87) ± 0.02,0.83 (0.80-0.86) ± 0.03,0.82 (0.78-0.85) ± 0.03,0.99 (0.98-0.99) ± 0.00,0.73 (0.68-0.79) ± 0.05,70000.0
LightGBM,0.98 (0.98-0.98) ± 0.00,0.90 (0.87-0.91) ± 0.02,0.68 (0.65-0.73) ± 0.04,0.75 (0.72-0.79) ± 0.03,0.68 (0.65-0.73) ± 0.04,0.60 (0.54-0.69) ± 0.06,0.98 (0.98-0.98) ± 0.00,0.64 (0.61-0.66) ± 0.02,70000.0
NaiveBayes,0.96 (0.95-0.97) ± 0.01,0.68 (0.65-0.71) ± 0.02,0.90 (0.84-0.94) ± 0.04,0.74 (0.71-0.77) ± 0.02,0.90 (0.84-0.94) ± 0.04,0.89 (0.84-0.94) ± 0.04,0.96 (0.95-0.97) ± 0.01,0.73 (0.68-0.81) ± 0.05,80000.0
LogisticRegression,0.99 (0.98-0.99) ± 0.00,0.86 (0.83-0.88) ± 0.02,0.83 (0.81-0.86) ± 0.02,0.84 (0.82-0.87) ± 0.02,0.83 (0.81-0.86) ± 0.02,0.82 (0.79-0.85) ± 0.03,0.99 (0.98-0.99) ± 0.00,0.73 (0.68-0.79) ± 0.05,80000.0
LightGBM,0.98 (0.98-0.99) ± 0.00,0.90 (0.84-0.95) ± 0.04,0.69 (0.65-0.74) ± 0.04,0.75 (0.72-0.80) ± 0.04,0.69 (0.65-0.74) ± 0.04,0.61 (0.55-0.69) ± 0.06,0.98 (0.98-0.99) ± 0.00,0.65 (0.61-0.67) ± 0.03,80000.0
NaiveBayes,0.96 (0.95-0.97) ± 0.01,0.68 (0.65-0.70) ± 0.02,0.90 (0.84-0.94) ± 0.04,0.74 (0.70-0.77) ± 0.02,0.90 (0.84-0.94) ± 0.04,0.89 (0.84-0.94) ± 0.04,0.96 (0.95-0.97) ± 0.01,0.73 (0.68-0.81) ± 0.05,90000.0
LogisticRegression,0.99 (0.98-0.99) ± 0.00,0.86 (0.83-0.89) ± 0.02,0.83 (0.80-0.88) ± 0.03,0.84 (0.82-0.88) ± 0.03,0.83 (0.80-0.88) ± 0.03,0.82 (0.78-0.87) ± 0.04,0.99 (0.98-0.99) ± 0.00,0.73 (0.68-0.79) ± 0.05,90000.0
LightGBM,0.98 (0.98-0.98) ± 0.00,0.90 (0.83-0.95) ± 0.04,0.69 (0.67-0.73) ± 0.03,0.76 (0.73-0.79) ± 0.03,0.69 (0.67-0.73) ± 0.03,0.62 (0.58-0.69) ± 0.04,0.98 (0.98-0.98) ± 0.00,0.63 (0.59-0.65) ± 0.03,90000.0
NaiveBayes,0.96 (0.95-0.97) ± 0.01,0.68 (0.65-0.70) ± 0.02,0.90 (0.84-0.94) ± 0.04,0.74 (0.70-0.77) ± 0.02,0.90 (0.84-0.94) ± 0.04,0.89 (0.84-0.94) ± 0.04,0.96 (0.95-0.97) ± 0.01,0.73 (0.68-0.81) ± 0.05,100000.0
LogisticRegression,0.99 (0.98-0.99) ± 0.00,0.86 (0.83-0.89) ± 0.02,0.83 (0.80-0.88) ± 0.03,0.84 (0.82-0.88) ± 0.03,0.83 (0.80-0.88) ± 0.03,0.82 (0.78-0.87) ± 0.04,0.99 (0.98-0.99) ± 0.00,0.73 (0.68-0.79) ± 0.05,100000.0
LightGBM,0.98 (0.98-0.98) ± 0.00,0.90 (0.83-0.95) ± 0.04,0.69 (0.67-0.73) ± 0.03,0.76 (0.73-0.79) ± 0.03,0.69 (0.67-0.73) ± 0.03,0.62 (0.58-0.69) ± 0.04,0.98 (0.98-0.98) ± 0.00,0.63 (0.59-0.65) ± 0.03,100000.0
NaiveBayes,0.96 (0.95-0.97) ± 0.01,0.68 (0.65-0.70) ± 0.02,0.90 (0.84-0.94) ± 0.04,0.74 (0.70-0.77) ± 0.02,0.90 (0.84-0.94) ± 0.04,0.89 (0.84-0.94) ± 0.04,0.96 (0.95-0.97) ± 0.01,0.73 (0.68-0.81) ± 0.05,baseline
LogisticRegression,0.99 (0.98-0.99) ± 0.00,0.86 (0.83-0.89) ± 0.02,0.83 (0.80-0.88) ± 0.03,0.84 (0.82-0.88) ± 0.03,0.83 (0.80-0.88) ± 0.03,0.82 (0.78-0.87) ± 0.04,0.99 (0.98-0.99) ± 0.00,0.73 (0.68-0.79) ± 0.05,baseline
LightGBM,0.98 (0.98-0.98) ± 0.00,0.90 (0.83-0.95) ± 0.04,0.69 (0.67-0.73) ± 0.03,0.76 (0.73-0.79) ± 0.03,0.69 (0.67-0.73) ± 0.03,0.62 (0.58-0.69) ± 0.04,0.98 (0.98-0.98) ± 0.00,0.63 (0.59-0.65) ± 0.03,baseline
